"","V1","V2","V3","V4","V5"
"c..card1....card2....card3....card4....card5..","Forbidden Droplet","Aluber the Jester of Despia","Fusion Deployment","Forbidden Droplet","Super Polymerization"
"V2","Branded Beast","Crossout Designator","Branded Opening","Branded Sword","Branded Retribution"
"V3","Super Polymerization","Aluber the Jester of Despia","Fusion Deployment","Crossout Designator","Foolish Burial"
"V4","The Bystial Lubellion","Branded Beast","Ash Blossom and Joyous Spring","Bystial Druiswurm","Springans Kitt"
"V5","Allure of Darkness","Branded Opening","Allure of Darkness","Branded Fusion","Branded Beast"
"V6","Fallen of Albaz","Forbidden Droplet","Gold Sarcophagus","Aluber the Jester of Despia","Despian Tragedy"
"V7","Blazing Cartesia the Virtuous","Branded Banishment","Springans Kitt","Aluber the Jester of Despia","Albion the Shrouded Dragon"
"V8","Allure of Darkness","Branded Opening","Branded in Red","Aluber the Jester of Despia","Albion the Shrouded Dragon"
"V9","Branded Retribution","Branded Opening","The Bystial Lubellion","Aluber the Jester of Despia","Allure of Darkness"
"V10","Ash Blossom and Joyous Spring","Springans Kitt","Bystial Magnamhut","Branded Opening","Despian Tragedy"
"V11","Fallen of Albaz","Tri-Brigade Mercourier","Ad Libitum of Despia","Branded Opening","Forbidden Droplet"
"V12","Crossout Designator","Branded Beast","Fallen of Albaz","Albion the Shrouded Dragon","Bystial Magnamhut"
"V13","Branded Sword","Super Polymerization","Blazing Cartesia the Virtuous","Ash Blossom and Joyous Spring","Branded Lost"
"V14","Bystial Druiswurm","Fusion Deployment","Branded in White","Branded in Red","Allure of Darkness"
"V15","Aluber the Jester of Despia","Blazing Cartesia the Virtuous","The Bystial Lubellion","Allure of Darkness","Albion the Shrouded Dragon"
"V16","Super Polymerization","Branded Opening","Fallen of Albaz","Crossout Designator","Aluber the Jester of Despia"
"V17","Branded in High Spirits","Albion the Shrouded Dragon","Blazing Cartesia the Virtuous","Super Polymerization","Allure of Darkness"
"V18","Branded Beast","Branded Regained","Fusion Deployment","Forbidden Droplet","Despian Tragedy"
"V19","Forbidden Droplet","Allure of Darkness","Forbidden Droplet","Despian Tragedy","Bystial Druiswurm"
"V20","Branded Regained","Gold Sarcophagus","Branded Opening","Branded Beast","Ash Blossom and Joyous Spring"
"V21","Ash Blossom and Joyous Spring","Branded in High Spirits","Branded Opening","Ash Blossom and Joyous Spring","Forbidden Droplet"
"V22","Albion the Shrouded Dragon","Despian Tragedy","Crossout Designator","Forbidden Droplet","Aluber the Jester of Despia"
"V23","Branded Sword","Albion the Shrouded Dragon","Branded Beast","Tri-Brigade Mercourier","Fusion Deployment"
"V24","Branded Fusion","Despian Tragedy","Despian Tragedy","Branded Banishment","Fallen of Albaz"
"V25","Ash Blossom and Joyous Spring","Fusion Deployment","Foolish Burial","Ash Blossom and Joyous Spring","Ash Blossom and Joyous Spring"
"V26","Branded Sword","Fusion Deployment","Allure of Darkness","Allure of Darkness","Fallen of Albaz"
"V27","Super Polymerization","Forbidden Droplet","Branded Opening","Branded in High Spirits","Branded Fusion"
"V28","Allure of Darkness","Branded Regained","Branded Opening","Branded in White","Branded in High Spirits"
"V29","Guiding Quem the Virtuous","Branded in High Spirits","Albion the Shrouded Dragon","Ash Blossom and Joyous Spring","Branded Banishment"
"V30","Blazing Cartesia the Virtuous","Bystial Magnamhut","Super Polymerization","Branded Opening","Fallen of Albaz"
"V31","Albion the Shrouded Dragon","Forbidden Droplet","Branded Opening","Guiding Quem the Virtuous","Aluber the Jester of Despia"
"V32","Ash Blossom and Joyous Spring","Blazing Cartesia the Virtuous","Fusion Deployment","Branded Banishment","Bystial Magnamhut"
"V33","Foolish Burial","Gold Sarcophagus","Branded Regained","Branded in White","Branded Banishment"
"V34","Ash Blossom and Joyous Spring","Tri-Brigade Mercourier","Branded in High Spirits","Albion the Shrouded Dragon","Fusion Deployment"
"V35","Allure of Darkness","Branded Opening","Springans Kitt","Albion the Shrouded Dragon","Aluber the Jester of Despia"
"V36","Aluber the Jester of Despia","Branded Beast","Fusion Deployment","Fusion Deployment","Blazing Cartesia the Virtuous"
"V37","Super Polymerization","Super Polymerization","Crossout Designator","Branded Opening","Tri-Brigade Mercourier"
"V38","Branded Retribution","Branded Opening","Branded Fusion","Guiding Quem the Virtuous","Bystial Magnamhut"
"V39","Fusion Deployment","Aluber the Jester of Despia","Super Polymerization","Branded Lost","Blazing Cartesia the Virtuous"
"V40","Fallen of Albaz","Branded Fusion","Allure of Darkness","Blazing Cartesia the Virtuous","Fusion Deployment"
"V41","Allure of Darkness","Fusion Deployment","Forbidden Droplet","Fallen of Albaz","Branded in White"
"V42","Guiding Quem the Virtuous","Fusion Deployment","Aluber the Jester of Despia","Fusion Deployment","Branded in High Spirits"
"V43","Forbidden Droplet","Bystial Druiswurm","Aluber the Jester of Despia","Branded in High Spirits","Branded Retribution"
"V44","Bystial Druiswurm","Ash Blossom and Joyous Spring","Branded Lost","Fusion Deployment","Ad Libitum of Despia"
