V1,V2,V3,V4,V5,Rating
Forbidden Droplet,Aluber the Jester of Despia,Fusion Deployment,Forbidden Droplet,Super Polymerization,7
Branded Beast,Crossout Designator,Branded Opening,Branded Sword,Branded Retribution,1
Super Polymerization,Aluber the Jester of Despia,Fusion Deployment,Crossout Designator,Foolish Burial,8
The Bystial Lubellion,Branded Beast,Ash Blossom and Joyous Spring,Bystial Druiswurm,Springans Kitt,
Allure of Darkness,Branded Opening,Allure of Darkness,Branded Fusion,Branded Beast,5
Fallen of Albaz,Forbidden Droplet,Gold Sarcophagus,Aluber the Jester of Despia,Despian Tragedy,5
Blazing Cartesia the Virtuous,Branded Banishment,Springans Kitt,Aluber the Jester of Despia,Albion the Shrouded Dragon,6
Allure of Darkness,Branded Opening,Branded in Red,Aluber the Jester of Despia,Albion the Shrouded Dragon,6
Branded Retribution,Branded Opening,The Bystial Lubellion,Aluber the Jester of Despia,Allure of Darkness,6
Ash Blossom and Joyous Spring,Springans Kitt,Bystial Magnamhut,Branded Opening,Despian Tragedy,
Fallen of Albaz,Tri-Brigade Mercourier,Ad Libitum of Despia,Branded Opening,Forbidden Droplet,
Crossout Designator,Branded Beast,Fallen of Albaz,Albion the Shrouded Dragon,Bystial Magnamhut,3
Branded Sword,Super Polymerization,Blazing Cartesia the Virtuous,Ash Blossom and Joyous Spring,Branded Lost,
Bystial Druiswurm,Fusion Deployment,Branded in White,Branded in Red,Allure of Darkness,3
Aluber the Jester of Despia,Blazing Cartesia the Virtuous,The Bystial Lubellion,Allure of Darkness,Albion the Shrouded Dragon,5
Super Polymerization,Branded Opening,Fallen of Albaz,Crossout Designator,Aluber the Jester of Despia,7
Branded in High Spirits,Albion the Shrouded Dragon,Blazing Cartesia the Virtuous,Super Polymerization,Allure of Darkness,
Branded Beast,Branded Regained,Fusion Deployment,Forbidden Droplet,Despian Tragedy,
Forbidden Droplet,Allure of Darkness,Forbidden Droplet,Despian Tragedy,Bystial Druiswurm,
Branded Regained,Gold Sarcophagus,Branded Opening,Branded Beast,Ash Blossom and Joyous Spring,
Ash Blossom and Joyous Spring,Branded in High Spirits,Branded Opening,Ash Blossom and Joyous Spring,Forbidden Droplet,
Albion the Shrouded Dragon,Despian Tragedy,Crossout Designator,Forbidden Droplet,Aluber the Jester of Despia,
Branded Sword,Albion the Shrouded Dragon,Branded Beast,Tri-Brigade Mercourier,Fusion Deployment,
Branded Fusion,Despian Tragedy,Despian Tragedy,Branded Banishment,Fallen of Albaz,
Ash Blossom and Joyous Spring,Fusion Deployment,Foolish Burial,Ash Blossom and Joyous Spring,Ash Blossom and Joyous Spring,
Branded Sword,Fusion Deployment,Allure of Darkness,Allure of Darkness,Fallen of Albaz,
Super Polymerization,Forbidden Droplet,Branded Opening,Branded in High Spirits,Branded Fusion,
Allure of Darkness,Branded Regained,Branded Opening,Branded in White,Branded in High Spirits,
Guiding Quem the Virtuous,Branded in High Spirits,Albion the Shrouded Dragon,Ash Blossom and Joyous Spring,Branded Banishment,
Blazing Cartesia the Virtuous,Bystial Magnamhut,Super Polymerization,Branded Opening,Fallen of Albaz,
Albion the Shrouded Dragon,Forbidden Droplet,Branded Opening,Guiding Quem the Virtuous,Aluber the Jester of Despia,
Ash Blossom and Joyous Spring,Blazing Cartesia the Virtuous,Fusion Deployment,Branded Banishment,Bystial Magnamhut,
Foolish Burial,Gold Sarcophagus,Branded Regained,Branded in White,Branded Banishment,
Ash Blossom and Joyous Spring,Tri-Brigade Mercourier,Branded in High Spirits,Albion the Shrouded Dragon,Fusion Deployment,
Allure of Darkness,Branded Opening,Springans Kitt,Albion the Shrouded Dragon,Aluber the Jester of Despia,
Aluber the Jester of Despia,Branded Beast,Fusion Deployment,Fusion Deployment,Blazing Cartesia the Virtuous,
Super Polymerization,Super Polymerization,Crossout Designator,Branded Opening,Tri-Brigade Mercourier,
Branded Retribution,Branded Opening,Branded Fusion,Guiding Quem the Virtuous,Bystial Magnamhut,
Fusion Deployment,Aluber the Jester of Despia,Super Polymerization,Branded Lost,Blazing Cartesia the Virtuous,
Fallen of Albaz,Branded Fusion,Allure of Darkness,Blazing Cartesia the Virtuous,Fusion Deployment,
Allure of Darkness,Fusion Deployment,Forbidden Droplet,Fallen of Albaz,Branded in White,
Guiding Quem the Virtuous,Fusion Deployment,Aluber the Jester of Despia,Fusion Deployment,Branded in High Spirits,
Forbidden Droplet,Bystial Druiswurm,Aluber the Jester of Despia,Branded in High Spirits,Branded Retribution,
Bystial Druiswurm,Ash Blossom and Joyous Spring,Branded Lost,Fusion Deployment,Ad Libitum of Despia,
Despian Tragedy,Allure of Darkness,Blazing Cartesia the Virtuous,Forbidden Droplet,Springans Kitt,
Allure of Darkness,Forbidden Droplet,Aluber the Jester of Despia,Ash Blossom and Joyous Spring,Branded Regained,
Aluber the Jester of Despia,Branded Retribution,Forbidden Droplet,Branded Fusion,Bystial Druiswurm,
Aluber the Jester of Despia,Fallen of Albaz,Crossout Designator,Tri-Brigade Mercourier,Forbidden Droplet,
Super Polymerization,Aluber the Jester of Despia,Allure of Darkness,Fusion Deployment,Forbidden Droplet,
Ash Blossom and Joyous Spring,Allure of Darkness,Super Polymerization,Bystial Saronir,The Bystial Lubellion,
Bystial Magnamhut,Springans Kitt,Despian Tragedy,Crossout Designator,Fallen of Albaz,
Fallen of Albaz,Branded Fusion,Branded Opening,Branded Sword,Bystial Saronir,
Springans Kitt,Branded Sword,Branded in White,Foolish Burial,Crossout Designator,
Super Polymerization,Guiding Quem the Virtuous,The Bystial Lubellion,Fusion Deployment,Allure of Darkness,
Blazing Cartesia the Virtuous,Allure of Darkness,Aluber the Jester of Despia,Ad Libitum of Despia,Springans Kitt,
Aluber the Jester of Despia,Crossout Designator,Fallen of Albaz,Albion the Shrouded Dragon,Super Polymerization,
Branded Sword,Fallen of Albaz,Branded Opening,Allure of Darkness,The Bystial Lubellion,
Super Polymerization,Forbidden Droplet,Allure of Darkness,Guiding Quem the Virtuous,Branded Beast,
Despian Tragedy,Crossout Designator,Super Polymerization,Fallen of Albaz,Ash Blossom and Joyous Spring,
Branded Opening,Fusion Deployment,Fusion Deployment,Springans Kitt,Forbidden Droplet,
Super Polymerization,Bystial Druiswurm,Allure of Darkness,Crossout Designator,Crossout Designator,
Fallen of Albaz,Branded Fusion,Tri-Brigade Mercourier,Fusion Deployment,Bystial Magnamhut,
Forbidden Droplet,Fusion Deployment,Branded in White,Crossout Designator,Branded Beast,
Gold Sarcophagus,Albion the Shrouded Dragon,Albion the Shrouded Dragon,Blazing Cartesia the Virtuous,The Bystial Lubellion,
Blazing Cartesia the Virtuous,Bystial Druiswurm,Super Polymerization,Allure of Darkness,Branded Regained,
Forbidden Droplet,Blazing Cartesia the Virtuous,Super Polymerization,Tri-Brigade Mercourier,Aluber the Jester of Despia,
Fallen of Albaz,Blazing Cartesia the Virtuous,Fallen of Albaz,Aluber the Jester of Despia,Allure of Darkness,
Branded Beast,Super Polymerization,Forbidden Droplet,Branded in Red,Fallen of Albaz,
Branded Sword,Super Polymerization,Gold Sarcophagus,Branded Fusion,Albion the Shrouded Dragon,
Branded Opening,The Bystial Lubellion,Branded Banishment,Tri-Brigade Mercourier,Fallen of Albaz,
Allure of Darkness,Fusion Deployment,Branded Sword,Despian Tragedy,Ash Blossom and Joyous Spring,
Aluber the Jester of Despia,Super Polymerization,Bystial Druiswurm,Ash Blossom and Joyous Spring,Branded in High Spirits,
Bystial Magnamhut,Super Polymerization,Springans Kitt,Forbidden Droplet,Ad Libitum of Despia,
